rna29947	Xetrov90000001m.g
rna37755	dfna5
rna44366	LOC105947589
rna244	mpp6
rna245	mpp6
rna246	mpp6
rna56622	LOC108647911
rna48617	npy
rna48618	npy
rna36012	stk31
rna36013	stk31
rna36014	stk31
rna57138	LOC105947542
rna33676	Xetrov90015937m.g
rna32156	Xetrov90015938m.g
rna14767	fam221a
rna14766	fam221a
rna14768	fam221a
rna14769	fam221a
rna14770	fam221a
rna14771	fam221a
rna14772	fam221a
rna14773	fam221a
rna50558	LOC101734733
rna17952	ccdc126
rna17954	ccdc126
rna17953	ccdc126
rna17955	ccdc126
rna17951	ccdc126
rna20458	tra2a
rna20459	tra2a
rna20461	tra2a
rna20462	tra2a
rna20460	tra2a
rna20457	tra2a
rna20456	tra2a
rna20463	tra2a
rna48866	LOC100498040
rna48867	LOC100498040
rna24247	igf2bp3
rna24246	igf2bp3
rna9801	malsu1
rna9802	malsu1
rna20297	gpnmb
rna20296	gpnmb
rna3223	klhl7
rna3222	klhl7
rna3221	klhl7
rna3219	klhl7
rna3220	klhl7
rna3224	klhl7
rna17708	nupl2
rna17709	nupl2
rna17711	nupl2
rna17713	nupl2
rna17712	nupl2
rna17710	nupl2
rna55645	LOC108647857
rna48492	sirt6
rna53737	fam126a
rna53738	fam126a
rna53739	fam126a
rna53740	fam126a
rna53741	fam126a
rna53742	fam126a
rna28095	Xetrov90015954m.g
rna61076	LOC100486462
rna61077	LOC100486462
rna6205	LOC105947687
rna6206	LOC105947687
rna6208	LOC105947687
rna6207	LOC105947687
rna6204	LOC105947687
rna45680	LOC101735026
rna50774	LOC108647858
rna34202	Xetrov90015956m.g
rna57480	galnt1
rna29378	Xetrov90015957m.g
rna41995	mir187
rna41996	mir187
rna48623	c18orf21
rna48624	c18orf21
rna15255	rprd1b
rna15254	rprd1b
rna15256	rprd1b
rna30282	Xetrov90015960m.g
rna17075	mrpl36
rna17076	mrpl36
rna52429	ndufs6
rna40250	LOC108647880
rna62852	irx4
rna36193	LOC105947662
rna2749	irx2
rna2748	irx2
rna28532	Xetrov90015964m.g
rna24719	irx1
rna24718	irx1
rna58801	LOC101734457
rna6485	LOC105947671
rna6484	LOC105947671
rna45743	LOC101733799
rna52342	LOC108647875
rna52343	LOC108647875
rna42489	LOC108647876
rna36272	adamts16
rna46499	LOC105947535
rna19528	exoc3
rna19529	exoc3
rna26701	ice1
rna26702	ice1
rna26703	ice1
rna26700	ice1
rna26704	ice1
rna52652	galnt12
rna36042	galnt4
rna59206	anks6
rna63317	pdcd6
rna63318	pdcd6
rna63896	pigm
rna41868	ahrr
rna48598	LOC105947663
rna38075	znfx1.2
rna44355	LOC101733295
rna50840	LOC733507
rna50841	LOC733507
rna50843	LOC733507
rna50842	LOC733507
rna50844	LOC733507
rna26284	cmbl
rna26285	cmbl
rna26286	cmbl
rna41894	march6
rna41895	march6
rna41896	march6
rna48526	ropn1l
rna41954	ankrd33b
rna233	dap
rna234	dap
rna54635	ctnnd2
rna33574	Xetrov90015995m.g
rna30928	Xetrov90015996m.g
rna44332	dnah5
rna34054	Xetrov90015999m.g
rna61686	LOC105947655
rna61685	LOC105947655
rna57086	trio
rna57087	trio
rna57088	trio
rna57089	trio
rna57090	trio
rna57091	trio
rna57092	trio
rna57093	trio
rna27708	Xetrov90016003m.g
rna52783	LOC101732754
rna52784	LOC101732754
rna52785	LOC101732754
rna52786	LOC101732754
rna52787	LOC101732754
rna43511	msantd3
rna43512	msantd3
rna43513	msantd3
rna35302	LOC100145148
rna35303	LOC100145148
rna35304	LOC100145148
rna35305	LOC100145148
rna35306	LOC100145148
rna35307	LOC100145148
rna35310	LOC100145148
rna35309	LOC100145148
rna35308	LOC100145148
rna35311	LOC100145148
rna35315	LOC100145148
rna35313	LOC100145148
rna35312	LOC100145148
rna35314	LOC100145148
rna35316	LOC100145148
rna31074	Xetrov90016007m.g
rna31352	Xetrov90016008m.g
rna10257	LOC100492529
rna10256	LOC100492529
rna22554	cct5
rna22555	cct5
rna22556	cct5
rna7098	fam173b
rna7099	fam173b
rna7097	fam173b
rna7100	fam173b
rna29778	Xetrov90016014m.g
rna60690	slc9a3
rna41445	LOC105947654
rna41444	LOC105947654
rna44979	LOC108647879
rna33593	Xetrov90016020m.g
rna54308	fastkd3
rna54307	fastkd3
rna54306	fastkd3
rna54309	fastkd3
rna54310	fastkd3
rna57683	LOC101732558
rna38528	mtrr
rna38529	mtrr
rna41456	LOC108647864
rna48147	il6
rna48879	rapgef5
rna48878	rapgef5
rna8768	cdca7l
rna8767	cdca7l
rna53318	dnah11
rna48800	sp4
rna37379	sp8
rna37380	sp8
rna37381	sp8
rna19709	abcb5
rna19710	abcb5
rna19711	abcb5
rna19712	abcb5
rna19713	abcb5
rna19714	abcb5
rna19715	abcb5
rna19708	abcb5
rna19716	abcb5
rna19718	abcb5
rna19719	abcb5
rna19720	abcb5
rna19717	abcb5
rna19721	abcb5
rna45591	LOC108647865
rna37259	LOC100494740
rna29897	Xetrov90016037m.g
rna58631	itgb8
rna26737	macc1
rna26736	macc1
rna44929	LOC108647892
rna23695	tmem196
rna23696	tmem196
rna19817	twistnb
rna19816	twistnb
rna26764	ferd3l
rna26763	ferd3l
rna26765	ferd3l
rna22833	twist1
rna22834	twist1
rna53948	LOC108647894
rna63910	hdac9
rna63911	hdac9
rna41088	snx13
rna41089	snx13
rna36179	ahr
rna26527	agr3
rna26526	agr3
rna26528	agr3
rna15407	agr2
rna15406	agr2
rna15408	agr2
rna36574	tspan13
rna36575	tspan13
rna62854	bzw2
rna56380	ankmy2
rna56379	ankmy2
rna4239	lrrc72
rna4240	lrrc72
rna4238	lrrc72
rna18440	syf2
rna18441	syf2
rna18442	syf2
rna1263	sostdc1
rna1264	sostdc1
rna56340	ispd
rna56341	ispd
rna56342	ispd
rna56343	ispd
rna56344	ispd
rna56345	ispd
rna46118	LOC108647896
rna21843	meox2
rna21844	meox2
rna40859	agmo
rna64071	dgkb
rna33411	Xetrov90016060m.g
rna21066	etv1
rna21067	etv1
rna21068	etv1
rna17847	arl4a
rna17848	arl4a
rna17849	arl4a
rna36805	scin
rna59800	LOC100496020
rna53282	LOC108644475
rna39206	LOC100495274
rna61733	vwde
rna61734	vwde
rna61735	vwde
rna27642	Xetrov90016069m.g
rna11421	tmem106b
rna11422	tmem106b
rna57390	thsd7a
rna57391	thsd7a
rna48902	LOC105947692
rna43729	phf14
rna43730	phf14
rna43731	phf14
rna43732	phf14
rna43734	phf14
rna43735	phf14
rna43733	phf14
rna43736	phf14
rna43737	phf14
rna43738	phf14
rna43739	phf14
rna31491	Xetrov90016090m.g
rna50164	nxph1
rna60449	mboat1
rna60450	mboat1
rna37493	LOC101731773
rna28169	Xetrov90016094m.g
rna46973	LOC101732576
rna46974	LOC101732576
rna20140	id4
rna63855	LOC108647881
rna40608	LOC108647882
rna32314	Xetrov90016096m.g
rna63914	rnf144b
rna24083	dek
rna24082	dek
rna24084	dek
rna6674	gmpr
rna6675	gmpr
rna6676	gmpr
rna55236	atxn1
rna55237	atxn1
rna55238	atxn1
rna57617	stmnd1
rna57618	stmnd1
rna38591	LOC101733088
rna9019	rbm24
rna9020	rbm24
rna52221	cap2
rna52222	cap2
rna24280	fam8a1
rna24279	fam8a1
rna45926	LOC108647883
rna45927	LOC108647883
rna62646	nup153
rna62647	nup153
rna43043	LOC105947643
rna43044	LOC105947643
rna43045	LOC105947643
rna51440	kif13a
rna51439	kif13a
rna51441	kif13a
rna51438	kif13a
rna57804	nhlrc1
rna17621	tpmt
rna17620	tpmt
rna8912	kdm1b
rna8913	kdm1b
rna8911	kdm1b
rna8914	kdm1b
rna58484	mylip
rna34592	dtnbp1
rna35222	dtnbp1
rna13310	jarid2
rna13312	jarid2
rna13311	jarid2
rna13313	jarid2
rna13309	jarid2
rna31567	Xetrov90016115m.g
rna51964	LOC108647899
rna33405	Xetrov90016117m.g
rna33154	Xetrov90016118m.g
rna6815	f13a1
rna6814	f13a1
rna43072	nrn1
rna29327	nrn1
rna41168	fars2
rna64262	lyrm4
rna64263	lyrm4
rna53615	ppp1r3g
rna28518	LOC100492615
rna34068	LOC100492446
rna8048	LOC100492282
rna8047	LOC100492282
rna8046	LOC100492282
rna31085	LOC101732479
rna25058	rpp40
rna25059	rpp40
rna35011	cdyl
rna56090	LOC105947611
rna49631	LOC101735299
rna49632	LOC101735299
rna875	eci2
rna874	eci2
rna873	eci2
rna876	eci2
rna8368	LOC100490656
rna8370	LOC100490656
rna8369	LOC100490656
rna8367	LOC100490656
rna11929	serpinb11
rna11930	serpinb11
rna12034	serpinb4
rna12032	serpinb4
rna12033	serpinb4
rna47398	LOC101730439
rna47399	LOC101730439
rna53880	bphl
rna53881	bphl
rna20400	tubb2b
rna20401	tubb2b
rna9280	LOC100145507
rna9279	LOC100145507
rna9281	LOC100145507
rna9282	LOC100145507
rna9283	LOC100145507
rna9284	LOC100145507
rna7238	psmg4
rna7237	psmg4
rna49770	slc22a23
rna59445	pxdc1
rna1435	LOC733928
rna1437	LOC733928
rna1436	LOC733928
rna1438	LOC733928
rna1434	LOC733928
rna1439	LOC733928
rna42957	prpf4b
rna42958	prpf4b
rna42962	prpf4b
rna42960	prpf4b
rna42959	prpf4b
rna42961	prpf4b
rna10258	ripk1
rna10259	ripk1
rna10261	ripk1
rna10260	ripk1
rna42298	LOC108647900
rna56270	dusp22
rna56271	dusp22
rna64157	irf4
rna64156	irf4
rna41122	exoc2
rna47321	LOC100498470
rna53990	foxq1
rna9001	foxf2
rna9002	foxf2
rna18746	foxc1
rna60177	gmds
rna60178	gmds
rna31515	Xetrov90016157m.g
rna37985	LOC105947650
rna44084	mylk4
rna44085	mylk4
rna44086	mylk4
rna32754	Xetrov90016160m.g
rna50223	wrnip1
rna44702	serpinb1
rna44703	serpinb1
rna51086	serpinb6
rna51087	serpinb6
rna57076	serpinb10
rna6939	serpinb5
rna28980	Xetrov90016169m.g
rna15168	LOC100145000
rna15167	LOC100145000
rna15169	LOC100145000
rna15170	LOC100145000
rna3782	LOC548390
rna3781	LOC548390
rna3783	LOC548390
rna3780	LOC548390
rna44907	vps4b
rna60520	kdsr
rna53925	bcl2
rna47060	LOC100127750
rna47061	LOC100127750
rna19165	LOC100135231
rna19166	LOC100135231
rna19167	LOC100135231
rna19164	LOC100135231
rna19168	LOC100135231
rna41297	phlpp1
rna41298	phlpp1
rna41299	phlpp1
rna20825	zcchc2
rna20824	zcchc2
rna20826	zcchc2
rna2352	tnfrsf11a
rna2353	tnfrsf11a
rna11183	kiaa1468
rna11182	kiaa1468
rna11184	kiaa1468
rna11186	kiaa1468
rna11185	kiaa1468
rna11187	kiaa1468
rna11188	kiaa1468
rna11189	kiaa1468
rna63373	pign
rna9009	rnf152
rna9011	rnf152
rna9010	rnf152
rna9008	rnf152
rna1796	cdh20
rna1797	cdh20
rna1798	cdh20
rna1799	cdh20
rna1795	cdh20
rna35931	gad1.2
rna35932	gad1.2
rna59164	LOC105947651
rna63119	mc4r
rna56690	c5orf22
rna28211	Xetrov90016191m.g
rna61584	drosha
rna4789	cdh6
rna4788	cdh6
rna4787	cdh6
rna33692	Xetrov90016197m.g
rna27861	Xetrov90016198m.g
rna51952	cdh9
rna31473	Xetrov90016201m.g
rna45246	cdh10
rna35231	cdh12
rna33253	Xetrov90016206m.g
rna49746	cdh18
rna43155	LOC108647898
rna64190	basp1
rna31744	Xetrov90016210m.g
rna53950	LOC105947657
rna53970	LOC108647901
rna30562	Xetrov90016212m.g
rna47183	myo10
rna7478	fam134b
rna7476	fam134b
rna7477	fam134b
rna7479	fam134b
rna63469	LOC105947658
rna20898	znf622
rna20899	znf622
rna20900	znf622
rna20901	znf622
rna20902	znf622
rna20903	znf622
rna7450	march11
rna7449	march11
rna47560	LOC108647902
rna59347	LOC108647903
rna45167	fbxl7
rna31930	Xetrov90016220m.g
rna35228	LOC105947660
rna58701	ankh
rna55166	otulin
rna55167	otulin
rna55168	otulin
rna55170	otulin
rna55169	otulin
rna55171	otulin
rna55172	otulin
rna55173	otulin
rna55834	fam105a
rna45647	slc6a3
rna45646	slc6a3
rna45645	slc6a3
rna52011	lpcat1
rna52012	lpcat1
rna52013	lpcat1
rna61055	LOC101734168
rna28749	Xetrov90016230m.g
rna2803	srd5a1
rna2804	srd5a1
rna25925	nsun2
rna25926	nsun2
rna25927	nsun2
rna25928	nsun2
rna15283	ube2ql1
rna15282	ube2ql1
rna16369	med10
rna16370	med10
rna49807	LOC105947533
rna49808	LOC105947533
rna38874	gabbr2
rna45148	elp2
rna45149	elp2
rna45150	elp2
rna36781	ctnnal1
rna36782	ctnnal1
rna30178	Xetrov90016239m.g
rna31775	Xetrov90016240m.g
rna42883	fam206a
rna42884	fam206a
rna42885	fam206a
rna42886	fam206a
rna10828	slc39a6
rna10829	slc39a6
rna10827	slc39a6
rna62531	LOC108647904
rna40111	tmeff1
rna40112	tmeff1
rna5014	murc
rna5013	murc
rna42371	LOC100488102
rna36269	LOC101734969
rna30060	Xetrov90016248m.g
rna58878	nfx1
rna32972	Xetrov90016250m.g
rna52555	LOC100488408
rna30878	Xetrov90016252m.g
rna41685	epb41l4b
rna33740	LOC101734140
rna33741	LOC101734140
rna32462	LOC100489284
rna28040	Xetrov90016258m.g
rna218	xt6l
rna217	xt6l
rna243	LOC100489132
rna242	LOC100489132
rna31634	Xetrov90016261m.g
rna50007	LOC105945774
rna30648	Xetrov90016262m.g
rna52392	LOC105947581
rna13049	cck
rna13048	cck
rna13050	cck
rna41006	eif1b
rna33906	eif1b
rna62329	LOC108647884
rna50335	LOC108647885
rna2921	prlh
rna2920	prlh
rna41143	myrip
rna34705	LOC100490320
rna47572	lars2
rna47573	lars2
rna47574	lars2
rna47575	lars2
rna47576	lars2
rna47577	lars2
rna47578	lars2
rna58295	LOC105947665
rna41736	tmem158
rna45079	cdcp1
rna9236	clec3b
rna9237	clec3b
rna7301	exosc7
rna7302	exosc7
rna13402	zdhhc3
rna13401	zdhhc3
rna13403	zdhhc3
rna13404	zdhhc3
rna13405	zdhhc3
rna13406	zdhhc3
rna13407	zdhhc3
rna13408	zdhhc3
rna64158	ezh2
rna64159	ezh2
rna64160	ezh2
rna64162	ezh2
rna64161	ezh2
rna64163	ezh2
rna29523	Xetrov90016277m.g
rna41125	cul1
rna41126	cul1
rna41127	cul1
rna41128	cul1
rna46854	cntnap2
rna34865	Xetrov90016283m.g
rna51809	LOC105947664
rna63774	LOC105947578
rna39098	tpk1
rna39099	tpk1
rna39100	tpk1
rna28787	Xetrov90016287m.g
rna9567	sec61g
rna9568	sec61g
rna47806	egfr
rna37882	LOC108647905
rna37883	LOC108647905
rna28928	Xetrov90016290m.g
rna16473	lancl2
rna16474	lancl2
rna16472	lancl2
rna16475	lancl2
rna16476	lancl2
rna1196	vopp1
rna1197	vopp1
rna1199	vopp1
rna1198	vopp1
rna1200	vopp1
rna14227	blvra
rna14228	blvra
rna14226	blvra
rna15492	coa1
rna15491	coa1
rna12119	stk17a
rna12120	stk17a
rna437	hecw1
rna438	hecw1
rna436	hecw1
rna439	hecw1
rna5143	mrpl32
rna5142	mrpl32
rna12211	psma2
rna12212	psma2
rna1562	c7orf25
rna1561	c7orf25
rna1563	c7orf25
rna51035	gli3
rna51036	gli3
rna51037	gli3
rna29780	Xetrov90016300m.g
rna29122	Xetrov90016301m.g
rna42441	inhba
rna41826	LOC108647886
rna62977	sugct
rna50382	glb1l
rna50383	glb1l
rna50385	glb1l
rna50384	glb1l
rna50386	glb1l
rna50387	glb1l
rna24895	mplkip
rna24896	mplkip
rna29292	Xetrov90016307m.g
rna63266	cxcr6
rna43210	xcr1
rna55896	LOC100491716
rna36326	ccr2
rna14433	slc6a19
rna14432	slc6a19
rna49392	tert
rna49393	tert
rna49394	tert
rna6652	clptm1l
rna6653	clptm1l
rna61174	pkd1l1
rna54903	tns3
rna14199	igfbp1
rna14200	igfbp1
rna61182	adcy1
rna45480	LOC101731807
rna28858	Xetrov90016320m.g
rna14345	mcm6
rna14346	mcm6
rna37924	ramp3
rna13799	hus1
rna13798	hus1
rna26157	c7orf57
rna26158	c7orf57
rna22095	upp1
rna22096	upp1
rna63160	LOC101731772
rna63159	LOC101731772
rna35779	vwc2
rna1994	c7orf72
rna1993	c7orf72
rna54276	ikzf1
rna54277	ikzf1
rna54278	ikzf1
rna54279	ikzf1
rna54280	ikzf1
rna18463	fignl1
rna18464	fignl1
rna18466	fignl1
rna18465	fignl1
rna18462	fignl1
rna44448	ddc
rna44450	ddc
rna44449	ddc
rna44451	ddc
rna44452	ddc
rna52881	LOC101734535
rna57626	grb10
rna57627	grb10
rna57628	grb10
rna57629	grb10
rna57634	grb10
rna57631	grb10
rna57630	grb10
rna57632	grb10
rna57633	grb10
rna57635	grb10
rna36720	cobl
rna32595	Xetrov90016334m.g
rna32914	Xetrov90016335m.g
rna28486	COX3
rna49659	stac
rna56307	dclk3
rna52292	trank1
rna52293	trank1
rna52294	trank1
rna4248	mlh1
rna4247	mlh1
rna19987	lrrfip2
rna19988	lrrfip2
rna19989	lrrfip2
rna19990	lrrfip2
rna19992	lrrfip2
rna19991	lrrfip2
rna19997	lrrfip2
rna19996	lrrfip2
rna19993	lrrfip2
rna19998	lrrfip2
rna19995	lrrfip2
rna19994	lrrfip2
rna19999	lrrfip2
rna19986	lrrfip2
rna45448	LOC108647906
rna45449	LOC108647906
rna12061	LOC100486850
rna12060	LOC100486850
rna47331	LOC100486588
rna47330	LOC100486588
rna47332	LOC100486588
rna21023	ccdc127
rna21022	ccdc127
rna64226	sdha
rna6609	tgfbr1
rna6610	tgfbr1
rna37681	reck
rna37682	reck
rna34242	Xetrov90016348m.g
rna33008	Xetrov90016349m.g
rna46817	tex10
rna46818	tex10
rna44259	LOC100489602
rna35423	pgq
rna48872	LOC100488640
rna27667	Xetrov90016354m.g
rna32379	Xetrov90016355m.g
rna55873	trak1
rna55875	trak1
rna55876	trak1
rna55874	trak1
rna55877	trak1
rna55878	trak1
rna55879	trak1
rna55880	trak1
rna55881	trak1
rna61940	ulk4
rna61941	ulk4
rna9169	ctnnb1
rna9170	ctnnb1
rna9171	ctnnb1
rna52127	LOC108647907
rna17056	kiaa1143
rna17057	kiaa1143
rna17058	kiaa1143
rna17059	kiaa1143
rna39940	kif15
rna49661	tgm4
rna56145	LOC100488471
rna51250	acad11
rna59562	ackr4
rna38128	uba5
rna38127	uba5
rna38129	uba5
rna38130	uba5
rna2028	nphp3
rna2027	nphp3
rna4190	ttc30a
rna4191	ttc30a
rna62564	tmem108
rna62563	tmem108
rna62562	tmem108
rna62565	tmem108
rna39855	bfsp2
rna20164	cdv3
rna20163	cdv3
rna20165	cdv3
rna20166	cdv3
rna20167	cdv3
rna18543	topbp1
rna18544	topbp1
rna18545	topbp1
rna18546	topbp1
rna18547	topbp1
rna18542	topbp1
rna48660	LOC105947673
rna15743	dnajc13
rna15744	dnajc13
rna15745	dnajc13
rna15747	dnajc13
rna15746	dnajc13
rna15748	dnajc13
rna15749	dnajc13
rna46603	acpp
rna46604	acpp
rna46607	acpp
rna46606	acpp
rna46605	acpp
rna46608	acpp
rna42035	cpne4
rna50643	mrpl3
rna42283	nek11
rna9292	aste1
rna9293	aste1
rna61827	atp2c1
rna61828	atp2c1
rna61829	atp2c1
rna61830	atp2c1
rna11782	pik3r4
rna11783	pik3r4
rna44619	col6a6
rna52982	LOC100486063
rna52981	LOC100486063
rna52983	LOC100486063
rna52984	LOC100486063
rna22122	capn7
rna22123	capn7
rna22124	capn7
rna22121	capn7
rna22125	capn7
rna22126	capn7
rna27230	sh3bp5
rna27229	sh3bp5
rna12498	mettl6
rna12497	mettl6
rna12496	mettl6
rna12499	mettl6
rna12500	mettl6
rna12501	mettl6
rna12502	mettl6
rna12503	mettl6
rna12504	mettl6
rna46707	eaf1
rna46708	eaf1
rna46709	eaf1
rna46710	eaf1
rna46711	eaf1
rna46712	eaf1
rna27556	mturn
rna27555	mturn
rna19083	znrf2
rna19082	znrf2
rna25268	nod1
rna25269	nod1
rna25270	nod1
rna1394	efcab1
rna1395	efcab1
rna1393	efcab1
rna2875	ggct
rna2876	ggct
rna2874	ggct
rna23661	entpd3
rna23663	entpd3
rna23662	entpd3
rna23791	rpl14
rna23792	rpl14
rna23793	rpl14
rna22058	LOC100145611
rna22057	LOC100145611
rna51324	fam198a
rna7868	pomgnt2
rna7869	pomgnt2
rna7871	pomgnt2
rna7872	pomgnt2
rna7870	pomgnt2
rna7867	pomgnt2
rna7873	pomgnt2
rna63407	LOC108647908
rna13607	snrk
rna13606	snrk
rna63478	ano10
rna63479	ano10
rna63480	ano10
rna63481	ano10
rna22979	abhd5
rna22980	abhd5
rna22981	abhd5
rna22983	abhd5
rna22982	abhd5
rna22984	abhd5
rna22985	abhd5
rna33054	Xetrov90016408m.g
rna37482	mir138
rna37483	mir138
rna44016	topaz1
rna44017	topaz1
rna44018	topaz1
rna44019	topaz1
rna44020	topaz1
rna44021	topaz1
rna44022	topaz1
rna50316	LOC100487846
rna45825	LOC100487054
rna45826	LOC100487054
rna18743	cyp3a5
rna18744	cyp3a5
rna18745	cyp3a5
rna18742	cyp3a5
rna9587	tcaim
rna9588	tcaim
rna9589	tcaim
rna9586	tcaim
rna9590	tcaim
rna9591	tcaim
rna9592	tcaim
rna35341	trim71
rna35340	trim71
rna35342	trim71
rna33571	Xetrov90016415m.g
rna49169	cnot10
rna49170	cnot10
rna49171	cnot10
rna49172	cnot10
rna49173	cnot10
rna41578	dync1li1
rna41579	dync1li1
rna50193	cmtm6
rna43727	cmtm7
rna26524	cmtm8
rna26525	cmtm8
rna16520	gpd1l
rna16521	gpd1l
rna53293	LOC105947537
rna46958	osbpl10
rna32454	Xetrov90016423m.g
rna17395	stt3b-like.1
rna17396	stt3b-like.1
rna33972	zbed9
rna39640	LOC105947538
rna34158	zbed9
rna49113	LOC101731182
rna40318	LOC105947584
rna23756	LOC101731268
rna23757	LOC101731268
rna41655	gadl1
rna41656	gadl1
rna46747	tgfbr2
rna34853	Xetrov90016431m.g
rna55067	rbms3
rna55068	rbms3
rna55066	rbms3
rna55069	rbms3
rna55070	rbms3
rna37801	LOC108647909
rna27492	azi2
rna27493	azi2
rna27494	azi2
rna27495	azi2
rna27496	azi2
rna27491	azi2
rna14082	cmc1
rna14081	cmc1
rna16969	eomes
rna16968	eomes
rna57447	slc4a7
rna57448	slc4a7
rna57449	slc4a7
rna57451	slc4a7
rna57450	slc4a7
rna57452	slc4a7
rna57454	slc4a7
rna57453	slc4a7
rna57455	slc4a7
rna61706	LOC105947585
rna52393	nek10
rna44325	lrrc3b
rna36561	LOC108647888
rna12228	oxsm
rna12229	oxsm
rna12230	oxsm
rna12231	oxsm
rna12232	oxsm
rna18508	ngly1
rna18509	ngly1
rna22946	top2b
rna22947	top2b
rna22948	top2b
rna50882	rarb
rna42501	LOC101731335
rna63121	LOC101731405
rna37114	LOC101731454
rna62774	LOC105947539
rna31158	Xetrov90016447m.g
rna42519	LOC105947678
rna46467	thrb
rna46468	thrb
rna46469	thrb
rna21132	nr1d2
rna21133	nr1d2
rna12153	rpl15
rna12154	rpl15
rna12155	rpl15
rna12156	rpl15
rna12157	rpl15
rna12158	rpl15
rna52634	nkiras1
rna7721	ube2e2-like.1
rna7720	ube2e2-like.1
rna48229	ube2e2
rna33956	Xetrov90016456m.g
rna61103	LOC108647866
rna50401	LOC105947586
rna23442	znf385d
rna23441	znf385d
rna3363	sgol1
rna3362	sgol1
rna3364	sgol1
rna3365	sgol1
rna38617	kat2b
rna38616	kat2b
rna38618	kat2b
rna61160	pp2d1
rna19933	rab5a
rna19934	rab5a
rna36466	efhb
rna40593	kcnh8
rna29630	kcnh8
rna30661	kcnh8
rna28071	kcnh8
rna28239	kcnh8
rna63763	satb1
rna63764	satb1
rna63765	satb1
rna63766	satb1
rna63767	satb1
rna29226	Xetrov90016467m.g
rna61681	tbc1d5
rna57620	LOC108647867
rna46508	plcl2
rna60002	rftn1
rna52225	oxnad1
rna43693	LOC108647910
rna49178	galnt15
rna29737	Xetrov90016475m.g
rna40645	LOC105947682
rna61699	ankrd28
rna61700	ankrd28
rna18231	btd
rna18230	btd
rna40015	LOC105947683
rna10654	hacl1
rna10653	hacl1
rna10655	hacl1
rna10656	hacl1
rna37274	colq
rna37275	colq
rna54516	plekha8
rna54517	plekha8
rna11015	fkbp14
rna11016	fkbp14
rna41225	amph
rna41222	amph
rna41224	amph
rna41223	amph
rna41221	amph
rna41226	amph
rna31773	Xetrov90016485m.g
rna33067	Xetrov90016486m.g
rna5911	stard3nl
rna5912	stard3nl
rna5910	stard3nl
rna2078	epdr1
rna2079	epdr1
rna62147	sfrp4
rna4042	gpr141
rna4041	gpr141
rna63835	LOC101731267
rna63833	LOC101731267
rna63836	LOC101731267
rna63834	LOC101731267
rna60901	elmo2
rna60902	elmo2
rna60903	elmo2
rna39269	aoah
rna6745	anln-like.2
rna6746	anln-like.2
rna6743	anln-like.2
rna6744	anln-like.2
rna10166	kiaa0895
rna10167	kiaa0895
rna10168	kiaa0895
rna44091	eepd1
rna44092	eepd1
rna56264	sept7
rna56265	sept7
rna56267	sept7
rna56266	sept7
rna18334	herpud2
rna18335	herpud2
rna18336	herpud2
rna18337	herpud2
rna18338	herpud2
rna31424	Xetrov90016502m.g
rna2998	tbx20
rna2997	tbx20
rna20226	yae1d1
rna20227	yae1d1
rna12443	med1
rna12444	med1
rna12442	med1
rna12445	med1
rna54855	rala
rna19280	cdk13
rna19279	cdk13
rna29827	Xetrov90016509m.g
rna44540	brd9
rna44541	brd9
rna44542	brd9
rna44544	brd9
rna44545	brd9
rna44543	brd9
rna44546	brd9
rna44547	brd9
rna44550	brd9
rna44549	brd9
rna44551	brd9
rna44548	brd9
rna44552	brd9
rna44553	brd9
rna44554	brd9
rna44555	brd9
rna44556	brd9
rna15506	trip13
rna15507	trip13
rna15508	trip13
rna15504	trip13
rna15503	trip13
rna15502	trip13
rna15505	trip13
rna15509	trip13
rna15510	trip13
rna20186	ccr3
rna20187	ccr3
rna41947	ccr9
rna23422	lztfl1
rna23423	lztfl1
rna23424	lztfl1
rna20455	LOC100489129
rna20453	LOC100489129
rna20454	LOC100489129
rna61119	erp44
rna54360	nr4a3
rna20503	sec61b
rna20504	sec61b
rna22958	alg2
rna22959	alg2
rna57153	limd1
rna57155	limd1
rna57154	limd1
rna57156	limd1
rna57157	limd1
rna48227	LOC105947577
rna40647	slc6a20
rna17594	snrpd1
rna17593	snrpd1
rna17595	snrpd1
rna18622	sacm1l
rna18621	sacm1l
rna44119	fhod3
rna44118	fhod3
rna19728	pdcd6ip
rna19729	pdcd6ip
rna19730	pdcd6ip
rna19726	pdcd6ip
rna19727	pdcd6ip
rna19731	pdcd6ip
rna21138	LOC108647912
rna21139	LOC108647912
rna37728	mir128-2
rna37729	mir128-2
rna20754	pdia4
rna20755	pdia4
rna11751	rreb1
rna11750	rreb1
rna11752	rreb1
rna11753	rreb1
rna11754	rreb1
rna11756	rreb1
rna11755	rreb1
rna11759	rreb1
rna11758	rreb1
rna11757	rreb1
rna11760	rreb1
rna11761	rreb1
rna11763	rreb1
rna11764	rreb1
rna11762	rreb1
rna18637	ssr1
rna18635	ssr1
rna18636	ssr1
rna18638	ssr1
rna40062	LOC108647913
rna40063	LOC108647913
rna38303	LOC105947570
rna10813	rbm22
rna10814	rbm22
rna25983	riok1
rna25984	riok1
rna25985	riok1
rna25986	riok1
rna25987	riok1
rna18949	dsp
rna1961	snrnp48
rna1962	snrnp48
rna36726	LOC100488932
rna36725	LOC100488932
rna40214	LOC100491712
rna1920	LOC100488770
rna1919	LOC100488770
rna1918	LOC100488770
rna1921	LOC100488770
rna16300	LOC100135367
rna16298	LOC100135367
rna16297	LOC100135367
